BH2DORS, TL
42.84900285,131.3102119
49.11680912,168.8824663
54.7008547,183.8150289
57.54985755,182.8516378
59.37321937,180.9248555
60.28490028,189.5953757
60.17094017,196.8208092
60.17094017,204.5279383
61.42450142,210.3082852
62.79202279,211.2716763
64.15954416,209.8265896
64.04558405,199.2292871
66.0968661,203.0828516
66.0968661,210.3082852
66.78062678,222.3506744
67.57834758,217.0520231
68.94586895,217.5337187
69.85754986,215.1252408
69.4017094,234.8747592
71.33903134,244.026975
72.02279202,237.283237
73.84615385,236.8015414
73.84615385,242.5818882
73.61823362,248.3622351
74.18803419,252.2157996
75.32763533,256.5510597
75.0997151,242.5818882
76.12535613,240.655106
77.37891738,240.655106
76.80911681,252.2157996
77.60683761,250.7707129
78.4045584,245.9537572
79.77207977,255.105973
80.68376068,257.0327553
81.93732194,253.1791908
82.27920228,247.3988439
78.86039886,267.1483622
80.7977208,269.0751445
83.87464387,267.1483622
85.47008547,265.22158
89.34472934,271.4836224
85.6980057,285.9344894
89.8005698,300.3853565
91.85185185,301.8304432
91.96581197,284.4894027
96.2962963,317.2447013
97.77777778,332.177264
105.4131054,339.4026975
112.1367521,329.2870906
